#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 00 24 340  3.1  3.6    MM    MM    MM  MM 1027.1  10.8  13.5    MM   MM   MM    MM
2023 11 15 00 18 330  2.6  3.1    MM    MM    MM  MM 1027.0  10.3  13.5    MM   MM   MM    MM
2023 11 15 00 12 320  2.1  2.6    MM    MM    MM  MM 1027.0  10.8  13.4    MM   MM   MM    MM
2023 11 15 00 06 330  2.6  3.1    MM    MM    MM  MM 1027.0  11.3  13.4    MM   MM   MM    MM
2023 11 15 00 00 340  2.6  3.1    MM    MM    MM  MM 1026.9  11.2  13.4    MM   MM +1.7    MM
2023 11 14 23 54 350  2.6  3.6    MM    MM    MM  MM 1026.8  11.3  13.4    MM   MM   MM    MM
2023 11 14 23 48 340  3.1  3.6    MM    MM    MM  MM 1026.8  11.3  13.4    MM   MM   MM    MM
2023 11 14 23 42 330  2.1  2.6    MM    MM    MM  MM 1026.7  11.1  13.4    MM   MM   MM    MM
2023 11 14 23 36 340  1.5  2.1    MM    MM    MM  MM 1026.7  10.9  13.4    MM   MM   MM    MM
2023 11 14 23 30 330  1.5  1.5    MM    MM    MM  MM 1026.7  10.7  13.4    MM   MM   MM    MM
2023 11 14 23 24 330  2.6  2.6    MM    MM    MM  MM 1026.6  10.5  13.4    MM   MM   MM    MM
2023 11 14 23 00 330  1.5  2.1    MM    MM    MM  MM 1026.5  10.4  13.4    MM   MM +2.1    MM
2023 11 14 22 54 320  2.1  2.6    MM    MM    MM  MM 1026.2  10.9  13.4    MM   MM   MM    MM
2023 11 14 22 48 310  2.1  2.6    MM    MM    MM  MM 1026.2  11.4  13.4    MM   MM   MM    MM
2023 11 14 22 42 330  2.6  3.1    MM    MM    MM  MM 1026.1  11.7  13.4    MM   MM   MM    MM
2023 11 14 22 36 330  2.1  2.6    MM    MM    MM  MM 1026.1  11.7  13.4    MM   MM   MM    MM
2023 11 14 22 30 360  2.6  3.1    MM    MM    MM  MM 1026.0  12.2  13.4    MM   MM   MM    MM
2023 11 14 22 24  20  1.5  2.1    MM    MM    MM  MM 1025.9  12.2  13.4    MM   MM   MM    MM
2023 11 14 22 18  30  2.6  3.1    MM    MM    MM  MM 1025.9    MM  13.4    MM   MM   MM    MM
2023 11 14 22 12  30  2.6  3.1    MM    MM    MM  MM 1025.9    MM  13.4    MM   MM   MM    MM
2023 11 14 22 06  30  2.6  3.6    MM    MM    MM  MM 1025.9    MM  13.5    MM   MM   MM    MM
2023 11 14 22 00  40  2.6  3.6    MM    MM    MM  MM 1025.8  12.4  13.5    MM   MM +1.3    MM
2023 11 14 21 54  30  2.6  4.1    MM    MM    MM  MM 1025.8  12.4  13.5    MM   MM   MM    MM
2023 11 14 21 48  30  2.6  4.1    MM    MM    MM  MM 1025.7  12.4  13.5    MM   MM   MM    MM
2023 11 14 21 42  30  3.1  4.6    MM    MM    MM  MM 1025.6  12.5  13.5    MM   MM   MM    MM
2023 11 14 21 36  30  3.1  4.1    MM    MM    MM  MM 1025.6  12.6  13.5    MM   MM   MM    MM
2023 11 14 21 30  30  3.6  4.6    MM    MM    MM  MM 1025.5  12.7  13.5    MM   MM   MM    MM
2023 11 14 21 24  30  3.1  4.6    MM    MM    MM  MM 1025.5  12.8  13.5    MM   MM   MM    MM
2023 11 14 21 18  30  4.1  6.2    MM    MM    MM  MM 1025.5  13.0  13.5    MM   MM   MM    MM
2023 11 14 21 12  30  3.6  5.7    MM    MM    MM  MM 1025.4  13.1  13.5    MM   MM   MM    MM
2023 11 14 21 06  30  3.6  6.2    MM    MM    MM  MM 1025.2  13.1  13.5    MM   MM   MM    MM
2023 11 14 21 00  30  4.1  5.7    MM    MM    MM  MM 1025.2  13.2  13.5    MM   MM +0.5    MM
2023 11 14 20 54  30  4.6  6.2    MM    MM    MM  MM 1025.1  13.1  13.5    MM   MM   MM    MM
2023 11 14 20 48  30  3.6  5.1    MM    MM    MM  MM 1025.0  13.3  13.5    MM   MM   MM    MM
2023 11 14 20 42  30  3.6  6.2    MM    MM    MM  MM 1024.9  13.3  13.5    MM   MM   MM    MM
2023 11 14 20 36  30  4.1  5.7    MM    MM    MM  MM 1024.8  13.3  13.6    MM   MM   MM    MM
2023 11 14 20 30  20  3.1  4.1    MM    MM    MM  MM 1024.7  13.4  13.6    MM   MM   MM    MM
2023 11 14 20 24  30  3.1  4.6    MM    MM    MM  MM 1024.7  13.5  13.6    MM   MM   MM    MM
2023 11 14 20 18  30  3.1  4.6    MM    MM    MM  MM 1024.7  13.5  13.6    MM   MM   MM    MM
2023 11 14 20 12  20  3.6  5.7    MM    MM    MM  MM 1024.6  13.3  13.6    MM   MM   MM    MM
2023 11 14 20 06  30  4.6  5.7    MM    MM    MM  MM 1024.5  13.4  13.6    MM   MM   MM    MM
2023 11 14 20 00  30  4.6  6.2    MM    MM    MM  MM 1024.4  13.3  13.6    MM   MM -0.5    MM
